Local time,Open,High,Low,Close,Volume
30.01.2018 23:00:00.000 GMT+0100,4.15485,4.15877,4.14597,4.14998,36352.5898
31.01.2018 23:00:00.000 GMT+0100,4.14847,4.16011,4.13947,4.15038,35999.2797
01.02.2018 23:00:00.000 GMT+0100,4.15047,4.16944,4.14682,4.16617,36428.519799999995
02.02.2018 23:00:00.000 GMT+0100,4.16617,4.16617,4.16617,4.16617,0
03.02.2018 23:00:00.000 GMT+0100,4.16617,4.16617,4.16617,4.16617,0
04.02.2018 23:00:00.000 GMT+0100,4.16368,4.16808,4.14140,4.15757,33574.0694
05.02.2018 23:00:00.000 GMT+0100,4.15736,4.17180,4.14897,4.15433,40414.079600000005
06.02.2018 23:00:00.000 GMT+0100,4.15433,4.17028,4.14775,4.16728,33618.119999999995
07.02.2018 23:00:00.000 GMT+0100,4.16662,4.19107,4.16321,4.19037,38580.9702
08.02.2018 23:00:00.000 GMT+0100,4.18965,4.20277,4.17796,4.17875,35629.5401
09.02.2018 23:00:00.000 GMT+0100,4.17875,4.17875,4.17875,4.17875,0
10.02.2018 23:00:00.000 GMT+0100,4.17875,4.17875,4.17875,4.17875,0
11.02.2018 23:00:00.000 GMT+0100,4.17858,4.18697,4.16561,4.16727,40328.19
12.02.2018 23:00:00.000 GMT+0100,4.16717,4.17817,4.16278,4.16417,30441.399899999997
13.02.2018 23:00:00.000 GMT+0100,4.16438,4.18151,4.15177,4.15297,41190.4098
14.02.2018 23:00:00.000 GMT+0100,4.15327,4.16138,4.14171,4.15347,36399.62
15.02.2018 23:00:00.000 GMT+0100,4.15347,4.16447,4.14783,4.15384,38762.05010000001
16.02.2018 23:00:00.000 GMT+0100,4.15384,4.15384,4.15384,4.15384,0
17.02.2018 23:00:00.000 GMT+0100,4.15384,4.15384,4.15384,4.15384,0
18.02.2018 23:00:00.000 GMT+0100,4.15579,4.15677,4.12895,4.13237,27468.279900000005
19.02.2018 23:00:00.000 GMT+0100,4.12881,4.15117,4.12762,4.14797,31446.350199999993
20.02.2018 23:00:00.000 GMT+0100,4.14697,4.17426,4.14140,4.16807,37234.4501
21.02.2018 23:00:00.000 GMT+0100,4.16572,4.18758,4.15762,4.17637,36653.30009999999
22.02.2018 23:00:00.000 GMT+0100,4.17394,4.18239,4.16659,4.16659,40384.180100000005
23.02.2018 23:00:00.000 GMT+0100,4.16659,4.16659,4.16659,4.16659,0
24.02.2018 23:00:00.000 GMT+0100,4.16659,4.16659,4.16659,4.16659,0
25.02.2018 23:00:00.000 GMT+0100,4.16857,4.17532,4.16487,4.16767,38651.52
26.02.2018 23:00:00.000 GMT+0100,4.16724,4.17694,4.16398,4.17097,55878.05
27.02.2018 23:00:00.000 GMT+0100,4.17064,4.18218,4.16292,4.17497,43723.26010000001
28.02.2018 23:00:00.000 GMT+0100,4.17467,4.19270,4.17115,4.18287,50729.17979999999
01.03.2018 23:00:00.000 GMT+0100,4.17893,4.19938,4.17588,4.18282,47724.4704
02.03.2018 23:00:00.000 GMT+0100,4.18282,4.18282,4.18282,4.18282,0
03.03.2018 23:00:00.000 GMT+0100,4.18282,4.18282,4.18282,4.18282,0
04.03.2018 23:00:00.000 GMT+0100,4.18917,4.19913,4.18607,4.18849,40440.590099999994
05.03.2018 23:00:00.000 GMT+0100,4.18849,4.19369,4.17601,4.18638,37630.87009999999
06.03.2018 23:00:00.000 GMT+0100,4.18488,4.21409,4.18078,4.20762,54905.73969999999
07.03.2018 23:00:00.000 GMT+0100,4.20762,4.21513,4.20079,4.20208,60139.6204
08.03.2018 23:00:00.000 GMT+0100,4.20198,4.20562,4.18901,4.19095,55572.6101
09.03.2018 23:00:00.000 GMT+0100,4.19095,4.19095,4.19095,4.19095,0
10.03.2018 23:00:00.000 GMT+0100,4.19095,4.19095,4.19095,4.19095,0
11.03.2018 22:00:00.000 GMT+0100,4.18629,4.20662,4.18478,4.20317,41851.1101
12.03.2018 22:00:00.000 GMT+0100,4.20192,4.21531,4.19389,4.21117,33865.8403
13.03.2018 22:00:00.000 GMT+0100,4.21048,4.21531,4.19687,4.19947,41209.170300000005
