Local time,Open,High,Low,Close,Volume
24.02.2020 23:00:00.000 GMT+0100,4.30337,4.30655,4.28795,4.30496,34513.5298
25.02.2020 23:00:00.000 GMT+0100,4.30475,4.31545,4.30064,4.31436,37844.9901
26.02.2020 23:00:00.000 GMT+0100,4.31395,4.32415,4.30333,4.32091,40090.4
27.02.2020 23:00:00.000 GMT+0100,4.32091,4.33689,4.32055,4.32401,56221.160200000006
28.02.2020 23:00:00.000 GMT+0100,4.32401,4.32401,4.32401,4.32401,0
29.02.2020 23:00:00.000 GMT+0100,4.32401,4.32401,4.32401,4.32401,0
01.03.2020 23:00:00.000 GMT+0100,4.32578,4.33402,4.30788,4.31196,53684.8095
02.03.2020 23:00:00.000 GMT+0100,4.31196,4.32449,4.29318,4.30179,61688.420399999995
03.03.2020 23:00:00.000 GMT+0100,4.29602,4.30866,4.28478,4.28478,41215.7403
04.03.2020 23:00:00.000 GMT+0100,4.28575,4.30787,4.28487,4.30448,54714.15989999999
05.03.2020 23:00:00.000 GMT+0100,4.30448,4.31915,4.28826,4.28847,69030.0293
06.03.2020 23:00:00.000 GMT+0100,4.28847,4.28847,4.28847,4.28847,0
07.03.2020 23:00:00.000 GMT+0100,4.28847,4.28847,4.28847,4.28847,0
08.03.2020 22:00:00.000 GMT+0100,4.29633,4.33455,4.29052,4.31367,105396.7503
09.03.2020 22:00:00.000 GMT+0100,4.31368,4.33070,4.30186,4.30485,104924.9502
10.03.2020 22:00:00.000 GMT+0100,4.30486,4.33073,4.29495,4.32205,79593.1405
11.03.2020 22:00:00.000 GMT+0100,4.31787,4.38877,4.31787,4.37287,118176.5796
12.03.2020 22:00:00.000 GMT+0100,4.37288,4.38854,4.35009,4.36906,162790.41919999997
13.03.2020 22:00:00.000 GMT+0100,4.36906,4.36906,4.36906,4.36906,0
14.03.2020 22:00:00.000 GMT+0100,4.36906,4.36906,4.36906,4.36906,0
15.03.2020 22:00:00.000 GMT+0100,4.37978,4.45155,4.35232,4.44400,222961.02769999998
16.03.2020 22:00:00.000 GMT+0100,4.44369,4.49669,4.42690,4.46027,198234.1976
17.03.2020 22:00:00.000 GMT+0100,4.46026,4.54899,4.45250,4.49826,204639.8703
18.03.2020 22:00:00.000 GMT+0100,4.49895,4.61682,4.47926,4.56988,138254.98090000002
19.03.2020 22:00:00.000 GMT+0100,4.56316,4.57777,4.50485,4.51961,166509.22139999998
20.03.2020 22:00:00.000 GMT+0100,4.51961,4.51961,4.51961,4.51961,0
21.03.2020 22:00:00.000 GMT+0100,4.51961,4.51961,4.51961,4.51961,0
22.03.2020 22:00:00.000 GMT+0100,4.53794,4.63326,4.52284,4.60157,114028.99979999999
23.03.2020 22:00:00.000 GMT+0100,4.59827,4.63127,4.57218,4.60083,99202.8704
24.03.2020 22:00:00.000 GMT+0100,4.60083,4.60565,4.54189,4.55853,184908.1212
25.03.2020 22:00:00.000 GMT+0100,4.56090,4.59695,4.49906,4.50790,191243.549
26.03.2020 22:00:00.000 GMT+0100,4.51991,4.54496,4.50077,4.52714,174781.499
27.03.2020 22:00:00.000 GMT+0100,4.52714,4.52714,4.52714,4.52714,0
28.03.2020 22:00:00.000 GMT+0100,4.52714,4.52714,4.52714,4.52714,0
29.03.2020 23:00:00.000 GMT+0200,4.53206,4.56507,4.52171,4.53475,197567.53819999998
30.03.2020 23:00:00.000 GMT+0200,4.54177,4.57495,4.52942,4.54531,174778.75819999998
31.03.2020 23:00:00.000 GMT+0200,4.54545,4.60118,4.54114,4.58706,135650.04009999998
01.04.2020 23:00:00.000 GMT+0200,4.58696,4.60350,4.55706,4.56872,184760.5936
02.04.2020 23:00:00.000 GMT+0200,4.56895,4.58971,4.55689,4.57747,162155.85079999996
03.04.2020 23:00:00.000 GMT+0200,4.57747,4.57747,4.57747,4.57747,0
04.04.2020 23:00:00.000 GMT+0200,4.57747,4.57747,4.57747,4.57747,0
05.04.2020 23:00:00.000 GMT+0200,4.58669,4.59140,4.54105,4.55818,146149.22879999998
06.04.2020 23:00:00.000 GMT+0200,4.55708,4.56283,4.51339,4.51848,200891.94079999995
07.04.2020 23:00:00.000 GMT+0200,4.51177,4.54620,4.51177,4.52155,181874.09770000004
08.04.2020 23:00:00.000 GMT+0200,4.52120,4.56176,4.51384,4.54535,121493.03080000001
09.04.2020 23:00:00.000 GMT+0200,4.54536,4.55498,4.53643,4.53984,15150.68
10.04.2020 23:00:00.000 GMT+0200,4.53984,4.53984,4.53984,4.53984,0
11.04.2020 23:00:00.000 GMT+0200,4.53984,4.53984,4.53984,4.53984,0
12.04.2020 23:00:00.000 GMT+0200,4.54855,4.57415,4.54715,4.55696,82223.49149999999
13.04.2020 23:00:00.000 GMT+0200,4.54648,4.55840,4.51315,4.51755,115572.60940000003
14.04.2020 23:00:00.000 GMT+0200,4.51715,4.54550,4.51102,4.53466,129187.82179999998
15.04.2020 23:00:00.000 GMT+0200,4.53441,4.55200,4.52509,4.54165,162568.28019999998
16.04.2020 23:00:00.000 GMT+0200,4.54176,4.54176,4.51156,4.51157,101095.32079999999
17.04.2020 23:00:00.000 GMT+0200,4.51157,4.51157,4.51157,4.51157,0
18.04.2020 23:00:00.000 GMT+0200,4.51157,4.51157,4.51157,4.51157,0
19.04.2020 23:00:00.000 GMT+0200,4.51525,4.52940,4.51165,4.52111,84998.84999999999
20.04.2020 23:00:00.000 GMT+0200,4.52111,4.53697,4.51628,4.53175,95902.5989
21.04.2020 23:00:00.000 GMT+0200,4.52930,4.55791,4.52302,4.54534,63711.39
22.04.2020 23:00:00.000 GMT+0200,4.54534,4.55676,4.53009,4.54095,45266.82999999999
23.04.2020 23:00:00.000 GMT+0200,4.53982,4.54289,4.51825,4.52117,47373.76960000001
