Local time,Open,High,Low,Close,Volume
22.02.2022 23:00:00.000 GMT+0100,4.54125,4.58177,4.52449,4.57806,48500.5295
23.02.2022 23:00:00.000 GMT+0100,4.58396,4.71955,4.58056,4.61943,88235.90039999998
24.02.2022 23:00:00.000 GMT+0100,4.61938,4.67065,4.61370,4.63616,62995.120200000005
25.02.2022 23:00:00.000 GMT+0100,4.63616,4.63616,4.63616,4.63616,0
26.02.2022 23:00:00.000 GMT+0100,4.63616,4.63616,4.63616,4.63616,0
27.02.2022 23:00:00.000 GMT+0100,4.67840,4.71293,4.66710,4.69722,52997.0899
28.02.2022 23:00:00.000 GMT+0100,4.68965,4.80842,4.67510,4.73664,73255.39990000002
01.03.2022 23:00:00.000 GMT+0100,4.73399,4.83155,4.72950,4.73950,76285.59990000002
02.03.2022 23:00:00.000 GMT+0100,4.74452,4.81744,4.73926,4.80662,52690.299999999996
03.03.2022 23:00:00.000 GMT+0100,4.80754,4.90523,4.79123,4.90493,70731.5892
04.03.2022 23:00:00.000 GMT+0100,4.90493,4.90493,4.90493,4.90493,0
05.03.2022 23:00:00.000 GMT+0100,4.90493,4.90493,4.90493,4.90493,0
06.03.2022 23:00:00.000 GMT+0100,4.90320,5.00237,4.90162,4.97746,59032.5402
07.03.2022 23:00:00.000 GMT+0100,4.97080,4.99675,4.85656,4.86072,32628.190199999997
08.03.2022 23:00:00.000 GMT+0100,4.89000,4.89202,4.74291,4.76676,66759.84999999999
09.03.2022 23:00:00.000 GMT+0100,4.76674,4.85515,4.75769,4.78058,85115.2893
10.03.2022 23:00:00.000 GMT+0100,4.78024,4.80579,4.75730,4.77610,91158.0308
11.03.2022 23:00:00.000 GMT+0100,4.77610,4.77610,4.77610,4.77610,0
12.03.2022 23:00:00.000 GMT+0100,4.77610,4.77610,4.77610,4.77610,0
13.03.2022 22:00:00.000 GMT+0100,4.76843,4.78466,4.70700,4.74299,54793.82970000002
14.03.2022 22:00:00.000 GMT+0100,4.74300,4.75279,4.69152,4.69810,83229.07040000001
15.03.2022 22:00:00.000 GMT+0100,4.70000,4.71494,4.64980,4.65344,79916.93999999999
16.03.2022 22:00:00.000 GMT+0100,4.65347,4.69643,4.65182,4.66946,64189.09990000003
17.03.2022 22:00:00.000 GMT+0100,4.66949,4.73345,4.66829,4.71062,50649.460199999994
18.03.2022 22:00:00.000 GMT+0100,4.71062,4.71062,4.71062,4.71062,0
19.03.2022 22:00:00.000 GMT+0100,4.71062,4.71062,4.71062,4.71062,0
20.03.2022 22:00:00.000 GMT+0100,4.69070,4.71516,4.67555,4.68647,44996.60959999999
21.03.2022 22:00:00.000 GMT+0100,4.68635,4.70265,4.66749,4.66791,49990.13950000001
